,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
21,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURBM3MzNEZREAE,maurd,https://www.google.com/maps/contrib/100846496232029035911/reviews?hl=en-CA,4 years ago,2021-06-24 14:24:40.596734,5.0,61,"Such a great park. Has a full pool, a kiddie playground, bike path, outdoor gym!"
22,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUNnaDR1Y3lBRRAB,Anthony VE2HEW,https://www.google.com/maps/contrib/100823052971068593969/reviews?hl=en-CA,4 years ago,2021-06-24 14:24:40.597529,5.0,126,Nice park that the bike path goes through. There are a few Geocaches here!
23,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURRdXEtclBnEAE,Michael F,https://www.google.com/maps/contrib/102912515915030650259/reviews?hl=en-CA,3 years ago,2021-06-24 14:24:40.598322,5.0,35,Ever been to a cave? Careful not get lost!
24,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURJN0o3ZHNBRRAB,Louie L,https://www.google.com/maps/contrib/112832895686937838716/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.599110,5.0,624,Very nice park
25,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUNvdjhTdU1BEAE,Craig Giesbrecht,https://www.google.com/maps/contrib/107345851077863464532/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.599902,5.0,358,Neat park to hang out
26,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURrazV6ZmNBEAE,Claudine Letang,https://www.google.com/maps/contrib/105421105477233629958/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.600693,5.0,65,Its was very good
27,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURrdUx2aXhnRRAB,Nancie Garcon,https://www.google.com/maps/contrib/113560608138829398949/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.601481,4.0,8,Big nice place
28,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUNnaFluOHVRRRAB,ZoNe_ yettii,https://www.google.com/maps/contrib/100907255473320242257/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.602310,5.0,69,Is it fresh like subway
29,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURVall1Sk5REAE,Google Person,https://www.google.com/maps/contrib/115001423830147155512/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.603126,1.0,422,Mosquito infested park
30,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURZdzhIOHNBRRAB,Nyzola Mr,https://www.google.com/maps/contrib/117068801380152818779/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.603915,4.0,9,"Nothing to it, it's just Pie X"
31,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUNVekxUOTlRRRAB,Ahmed Mekallach,https://www.google.com/maps/contrib/109296583851883345418/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.604703,5.0,47,Everything you need you got it
32,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURZMWJtR29RRRAB,Reem Abd Allah,https://www.google.com/maps/contrib/100958307834974523740/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.605496,4.0,16,I like this park
33,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUQweHBDWFp3EAE,Robert Michaudville,https://www.google.com/maps/contrib/110117657600521191549/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.606291,5.0,75,Quet with trees to relax
34,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUNVeWNQSjF3RRAB,Kenley Bel,https://www.google.com/maps/contrib/113874608839360811892/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.607138,3.0,11,Missing shade area
35,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUMwaHBIb29BRRAB,Sammy Souidi,https://www.google.com/maps/contrib/113511600261107610723/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.607928,3.0,7,Boring
36,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUNzc2VLRmtnRRAB,Krinco Mtl,https://www.google.com/maps/contrib/114419532999596320719/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.608718,5.0,35,Beautiful park
37,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURRMFlhZV9BRRAB,Meg G,https://www.google.com/maps/contrib/117931438930626999053/reviews?hl=en-CA,3 years ago,2021-06-24 14:24:40.609506,5.0,47,Beautiful trees!
38,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUN3clByMVl3EAE,Mario I,https://www.google.com/maps/contrib/103131993882915670179/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.610290,4.0,32,Big park
39,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUN3MVp5ejV3RRAB,martin thibeault,https://www.google.com/maps/contrib/116897801910510405173/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.611232,5.0,19,A 1
40,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURBNTh6bzdRRRAB,HAVA Ozturk,https://www.google.com/maps/contrib/112761852285956925565/reviews?hl=en-CA,3 years ago,2021-06-24 14:24:40.612032,5.0,64,Peaceful
41,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURJX3VES3BnRRAB,Eda Vitulli,https://www.google.com/maps/contrib/105984258234093826625/reviews?hl=en-CA,2 years ago,2021-06-24 14:24:40.612820,1.0,3,The worst place on earth
42,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURnMDlybjlnRRAB,Karim Zniber,https://www.google.com/maps/contrib/113507374439032113762/reviews?hl=en-CA,3 years ago,2021-06-24 14:24:40.613902,5.0,88,Beautiful parc
43,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURRMnJtd2NBEAE,Tony Fancello,https://www.google.com/maps/contrib/102129743866171318023/reviews?hl=en-CA,3 years ago,2021-06-24 14:24:40.614835,4.0,21,This park has a cave
