,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
20,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURRZ2RPRVBnEAE,Ostie Guy,https://www.google.com/maps/contrib/118418947888734437030/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.954623,5.0,17,Beautifull skatePark. Mostly for every skateboard style you can imagine ! Attention aux trottinettes sans parents superviseur. Papa and Mama should stay close to their kids and teach them to behave properly in a dangerous sport area.
21,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURjbTRHLUxREAE,gustavo jara,https://www.google.com/maps/contrib/111855441351620085239/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.955561,5.0,89,Free tennis court in the afternoon 😁
22,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURLdk9ybm5nRRAB,Vidisha Pandya,https://www.google.com/maps/contrib/110467897548418195724/reviews?hl=en-US,a month ago,2021-06-20 19:48:57.956475,5.0,17,Very large
23,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURZcHN5ZS1BRRAB,Accel Force,https://www.google.com/maps/contrib/102296732026146654423/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.957417,5.0,4,The view from the river was excellent. Recommend you to take your dog there!
24,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURBeU9DUWlBRRAB,Jean-Michel “Jmo” Jmo,https://www.google.com/maps/contrib/104325092439118532257/reviews?hl=en-US,4 years ago,2021-06-20 19:48:57.958336,5.0,107,"Superb bicycle path along the water front. This park is rather long which makes it all the more interesting for a spin. Add to that a pool, a skatepark, children-specific play areas, even an ice cream vendor and you have a five star park. Oh yeah, it's right next to the metro."
25,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURJOWNLZ3dBRRAB,Vex Vane,https://www.google.com/maps/contrib/112567993013848156134/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.959261,5.0,23,Its a small skatepark. Near waterfront. Its very quiet most of the time.
26,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNpLXBHcjVBRRAB,swiatek rose,https://www.google.com/maps/contrib/113729424001260833182/reviews?hl=en-US,7 months ago,2021-06-20 19:48:57.960180,1.0,37,What happened with the walk path?
27,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURJdS0tLVB3EAE,Natalie King,https://www.google.com/maps/contrib/106780958892859616706/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.961097,5.0,76,Great place in the summer even a skateboard parcel and a swimming pool and lots of place to picnic
28,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURzM1Aybm5BRRAB,Minal C.,https://www.google.com/maps/contrib/106628233963972526582/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.962011,4.0,862,nice park for people living in the vicinity
29,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUM4eTVibmdRRRAB,rajan dawra,https://www.google.com/maps/contrib/101586303940912257869/reviews?hl=en-US,11 months ago,2021-06-20 19:48:57.962924,5.0,18,Always clean and managed
30,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNBLTRTRFNnEAE,Oliver Hoffmann,https://www.google.com/maps/contrib/108991599067953505220/reviews?hl=en-US,4 years ago,2021-06-20 19:48:57.963842,5.0,121,Love this skate park. The layout and obstacles are different from the other parks I know. Especially love the painted curbs and the fact that there are many smaller obstacles and jumps that you don't have to be a pro for to use. The kids love it too.
31,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURraTRtUkJ3EAE,Adam & Michelle,https://www.google.com/maps/contrib/106170478575857004006/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.964984,4.0,39,My son loves this good sized skate park.
32,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURRdGY2WndBRRAB,Tommy Pierre,https://www.google.com/maps/contrib/103348918294616241493/reviews?hl=en-US,4 years ago,2021-06-20 19:48:57.966101,5.0,4,"there's something for everyone. There's a skatepark for people who loves these kind of sports. Also there's two structures for kids of different ages. Finally, there a football field, a baseball field, tennis courts, a basketball court and a public swimming pool."
33,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURrLU9xNHdRRRAB,Dan Giunta,https://www.google.com/maps/contrib/110087430574734428356/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.967208,5.0,90,"Great park. Skate park, and kids park, boarding on the waterfront."
34,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNBaHY3RUhnEAE,Nick F.,https://www.google.com/maps/contrib/106040052773078488408/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.968312,5.0,28,"Swimming pool, water games, park, skate park, basketball court. A lot of things to do on a nice summer day.
Winter has sledding with tube/sled rentals and skating with skate rentals."
35,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURVMThuS2NBEAE,Sasha Asgary,https://www.google.com/maps/contrib/108127710628139217235/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.969420,5.0,95,Skate park. Baseball diamonds. Tennis courts. Tons of kids stuff. A pool. The beach.
36,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURBOE5QamxBRRAB,Bridget Farret,https://www.google.com/maps/contrib/115731709434645263352/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.970526,5.0,19,Had a great morning tobogganing here. It has a nice size hill for families with young kids.
37,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURRbTYtVXdnRRAB,Bernard Dahl,https://www.google.com/maps/contrib/116385057714987804274/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.971476,5.0,42,"One of the perks of living in Verdun: the super long waterfront, rich with people and activities and facilities."
38,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURVaklLWHBnRRAB,Carlo,https://www.google.com/maps/contrib/115930821370227870728/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.972390,5.0,337,Loving it.  Very relaxing.
39,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURRcjR2Ql9nRRAB,Kenneth Ross,https://www.google.com/maps/contrib/102121705311171880949/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.973304,4.0,48,Big park on the board walk swimming pool and first weekend of Aug there is a nice softball tournament call point wish
40,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURDb3F6UVVnEAE,Cat Bénard,https://www.google.com/maps/contrib/100677961457804325441/reviews?hl=en-US,2 weeks ago,2021-06-20 19:48:57.974233,5.0,85,"Basketball, tennis, baseball, skatepark, pool, beach, this spot has it all"
41,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURRMDVYMS1BRRAB,Leabelle Dolphysa,https://www.google.com/maps/contrib/109520882084324658836/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.975147,4.0,14,"Its great for hold family events! Playing basket ball. There's a baseball site and access to toilet in the pavillon. The aquajet for the kids is open when summer hit. The slide is broken at the child park. I hope the town will fix it very soon! The swimming pool and the skateboard park can be free for even BMX. There is water fountain and picknic table. But there is no barbecue on this site. The hospital of Verdun just beside and the parking that cost you ticket is only for the hospital. There is construction about the Arena beside so they take over the parking place for the park, beside the swimming pool. And thereis the Verdun Beach that is under construction. The metal slide is much better than those plastic one."
42,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUN3OGJfamp3RRAB,Bijoy Dey,https://www.google.com/maps/contrib/103913212193674625728/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.976075,4.0,4,Best parc ever. Reminds me a lot of memories
43,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNBcklPU2Z3EAE,Dennis Robinson,https://www.google.com/maps/contrib/111104866109045590123/reviews?hl=en-US,4 years ago,2021-06-20 19:48:57.976996,5.0,182,"Great park in the North end of Verdun with tennis courts, multiple baseball fields, a football field, pool, jungle gym and snack bar / cafeteria."
44,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURneE16RTl3RRAB,Valerie Charbonneau,https://www.google.com/maps/contrib/118050584559018144715/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.978115,5.0,59,"Great park to visit for all seasons! Snowshoe, tubing rental as well"
45,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURBMFpIeG5nRRAB,David Gagnon,https://www.google.com/maps/contrib/108807597209687392863/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.979203,4.0,32,Great skatepark but wish there was a mini ramp!
46,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNRc3NIQjlRRRAB,Eric B,https://www.google.com/maps/contrib/100119803065304633675/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.980131,5.0,15,"This is a really nice park to walk through, or to simply relax in."
47,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNvX292bGZnEAE,Kostyantyn Artemov,https://www.google.com/maps/contrib/101161206214518507450/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.981083,5.0,15,Beautiful slides in winter
48,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURnOGNucG5RRRAB,Neisky Montiel,https://www.google.com/maps/contrib/115477133374591190355/reviews?hl=en-US,5 years ago,2021-06-20 19:48:57.982014,5.0,141,Great place to play any sport! Nice river view!
49,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNnaVpQWFhnEAE,Arth Dalwadi,https://www.google.com/maps/contrib/116947407870214922908/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.982942,5.0,27,One of the best places to Skate and excellent beginner track for a BMX
50,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUM0aU15RmRnEAE,Mohamad Abou Taha,https://www.google.com/maps/contrib/116596909711919410865/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.983869,5.0,130,Great place to do outside activities
51,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURZdXBMM2VBEAE,Fernando Stabile,https://www.google.com/maps/contrib/100058655126091541827/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.984794,5.0,167,Very good for kids.
52,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNRaU1lWC1nRRAB,Kayli Rodgers,https://www.google.com/maps/contrib/114095929786339978742/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.985715,5.0,171,Fantastic park!!!!!!!! Live music this wknd.splash pad so much for kids even adults to do!
53,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNRdUk3LWNREAE,Phil Pelletier,https://www.google.com/maps/contrib/107923211119154016552/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.986635,5.0,2,"Great concrete skatepark, smooth design!"
54,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURrdzh6UjdnRRAB,Parto NK,https://www.google.com/maps/contrib/115914326592196925044/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.987553,4.0,10,Great parc
55,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNVOFlqMjFRRRAB,محمود الكحلوت,https://www.google.com/maps/contrib/102325394035443955725/reviews?hl=en-US,a year ago,2021-06-20 19:48:57.988576,5.0,80,Good
56,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURRczVYbWJnEAE,Kim Nguyen,https://www.google.com/maps/contrib/116985360805341423870/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.989691,5.0,33,Very beautiful and natural space at the heart of city
57,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURBal8tRDN3RRAB,Fabio Petrillo,https://www.google.com/maps/contrib/115860133676967892564/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.990706,4.0,7,Nice Park for cycling.
58,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURnNkktdTFBRRAB,Steve Lee,https://www.google.com/maps/contrib/108645952504027724180/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.991632,3.0,186,Only been on the Baseball field which is OK.
59,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNncE9feHRBRRAB,Amelia McMahon,https://www.google.com/maps/contrib/112684376373666573373/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.992554,5.0,10,This park is always full of activity with tons of space for whatever you want to do!
60,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURZcmUtUGtRRRAB,Maru Cisneros,https://www.google.com/maps/contrib/110697501997848489957/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.993467,3.0,109,great and clean!!!
61,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURBbWJqM1ZREAE,Robert Constantine,https://www.google.com/maps/contrib/109432856709981011484/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.994385,1.0,2,Overwhelming construction
62,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURnM01XT3R3RRAB,Charlie St-Laurent,https://www.google.com/maps/contrib/111221435105870300313/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.995296,5.0,209,"Cute park, great for the skating range."
63,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUN3MWVER3hnRRAB,Yu Meng Chao,https://www.google.com/maps/contrib/103809159461050760632/reviews?hl=en-US,2 years ago,2021-06-20 19:48:57.996209,5.0,589,Skatepark is good!
64,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUN3eXJiNjZBRRAB,Raphael Gagnon,https://www.google.com/maps/contrib/106717603123713283113/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.997121,5.0,4,Great skatepark
65,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNBNjZEYUZBEAE,David Carrizosa,https://www.google.com/maps/contrib/111760140490441139664/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.998037,5.0,27,Best public skatepark in Montreal
66,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNna05mTk9nEAE,Mykola Tymchenko,https://www.google.com/maps/contrib/107856146376346278344/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.998972,5.0,22,Very nice parc
67,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURRMVlPc1l3EAE,Liam Mulrooney,https://www.google.com/maps/contrib/102199772999338860557/reviews?hl=en-US,3 years ago,2021-06-20 19:48:57.999886,5.0,95,Good skate park!
68,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURnanRTNUVBEAE,Nick Lalonde-Fogel,https://www.google.com/maps/contrib/114040864393648529501/reviews?hl=en-US,3 years ago,2021-06-20 19:48:58.000820,5.0,181,Beautiful place to unwind
69,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUN3dHZQNEVREAE,Javier Arellano,https://www.google.com/maps/contrib/106935064060822397183/reviews?hl=en-US,3 years ago,2021-06-20 19:48:58.001734,5.0,116,"Excellent for kids, they love it"
70,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURBa2FHcnFnRRAB,Monica Ilinca,https://www.google.com/maps/contrib/113079343375696264228/reviews?hl=en-US,4 years ago,2021-06-20 19:48:58.002647,5.0,26,My dog loves it !
71,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNRd19LOUd3EAE,Maxence Parenteau,https://www.google.com/maps/contrib/104355061803506660424/reviews?hl=en-US,3 years ago,2021-06-20 19:48:58.003566,4.0,14,Beautiful park and great skate park!
72,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNRODhQNC1RRRAB,sylvain Blanchard,https://www.google.com/maps/contrib/108552706155535683814/reviews?hl=en-US,4 years ago,2021-06-20 19:48:58.004482,5.0,5,Cool
73,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURRdHRXU0hBEAE,jad soleil,https://www.google.com/maps/contrib/118294874151576252557/reviews?hl=en-US,4 years ago,2021-06-20 19:48:58.005395,4.0,18,Wide spaces. Clean and quiet.
74,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURRdjhmMU9REAE,sajad zand,https://www.google.com/maps/contrib/101930894934320251196/reviews?hl=en-US,4 years ago,2021-06-20 19:48:58.006311,4.0,146,Like it.....
75,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURROTkzUy1BRRAB,Christopher Lackey,https://www.google.com/maps/contrib/104840770041930491353/reviews?hl=en-US,4 years ago,2021-06-20 19:48:58.007224,5.0,27,Awesome skate park
76,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNRbjZTVFZnEAE,Kathy A,https://www.google.com/maps/contrib/116527272673460684202/reviews?hl=en-US,4 years ago,2021-06-20 19:48:58.008136,4.0,121,"Nice park, lots of weeping willow trees"
77,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNxN0syZk1BEAE,Julio Berrios-Vrsalovic,https://www.google.com/maps/contrib/114099038738548505322/reviews?hl=en-US,3 weeks ago,2021-06-20 19:48:58.009055,5.0,15,"(Translated by Google) Very nice view towards downtown and the river

(Original)
Très belle vue vers centre-ville et le fleuve"
78,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNxNU8zRjdBRRAB,Regis Maltais,https://www.google.com/maps/contrib/105242623234057980168/reviews?hl=en-US,3 weeks ago,2021-06-20 19:48:58.009971,5.0,144,"(Translated by Google) Beautiful beach in Verdun but a little too small

(Original)
Belle plage a Verdun mais un peu trop petite"
79,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSURTNmJfWGJREAE,Jonathan Roy,https://www.google.com/maps/contrib/103862662120460702446/reviews?hl=en-US,a month ago,2021-06-20 19:48:58.010886,5.0,116,"(Translated by Google) Very nice park, but quite busy

(Original)
Très beau parc, mais assez achalandé"
80,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURpNk96cXBBRRAB,Mike Lalonde,https://www.google.com/maps/contrib/100195802791947451600/reviews?hl=en-US,6 months ago,2021-06-20 19:48:58.011800,3.0,6,"(Translated by Google) A great conplex! Except that the ball fields have been left to die for several years!

(Original)
Un super conplex! Sauf que les terrains de balle sont laisser pour mourir depuis plusieurs annees!"
81,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUN3eF9HcXpnRRAB,Gyom Latrompette,https://www.google.com/maps/contrib/116404076758368698413/reviews?hl=en-US,2 years ago,2021-06-20 19:48:58.012931,5.0,41,"(Translated by Google) Good spot for chilling pepouzzzzz

(Original)
Bon spot pour chiller pepouzzzzz"
82,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURBeHZuaHN3RRAB,Jo Sigouin,https://www.google.com/maps/contrib/114010165750449188794/reviews?hl=en-US,3 years ago,2021-06-20 19:48:58.014039,5.0,2,"(Translated by Google) Super nice place to walk around

(Original)
Super belle place pour se promener"
83,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSURja2M3enh3RRAB,Chloé D. Boudreault,https://www.google.com/maps/contrib/115291636715162131989/reviews?hl=en-US,a year ago,2021-06-20 19:48:58.015150,4.0,128,"(Translated by Google) Very nice place. Large green area, beautiful park but need maintenance for the play modules. Simple and fun water game.

(Original)
Très belle endroit. Grand espace vert, beau parc mais besoin d'entretien pour les modules de jeu. Jeu d'eau simple et amusant."
84,Parc Arthur-Therrien,ChZDSUhNMG9nS0VJQ0FnSUNVaUxiQURBEAE,ZeKurGan,https://www.google.com/maps/contrib/116997885466381386293/reviews?hl=en-US,a year ago,2021-06-20 19:48:58.016258,4.0,30,"(Translated by Google) Spacious pool with a large surface for tanning.
The pool is split in two. A paddling pool or the smallest can cool off in peace and an adult party with a diving board, a tube slip.
The safety is very good and the lifeguards are doing their job well.
If the pool is free unfortunately the parking is paying. Count $ 10 for about 4 hours of parking

(Original)
Piscine spacieuse avec une large surface pour venir se bronzer.
La piscine est partagée en deux. Une partie pataugeoire ou les plus petits peuvent se rafraîchir en toute tranquillité et une partie adultes avec un plongeoir, un tube a glissade.
La sécurité y est très bonne et les maîtres nageurs font bien leur job.
Si la piscine est gratuite malheureusement le parking annexe est payant. Compter 10$ pour environ 4 heure s de stationnement"
85,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUNDeWI3VnpRRRAB,Cristiana T.,https://www.google.com/maps/contrib/117113010744812677373/reviews?hl=en-US,9 months ago,2021-06-20 19:48:58.017364,5.0,44,"(Translated by Google) Several sports fields and lots of space, perfect for a little picnik.

(Original)
Plusieurs terrains sportif et beaucoup d’espace, parfait pour un petit picnik."
86,Parc Arthur-Therrien,ChdDSUhNMG9nS0VJQ0FnSUN5dTUzMW5BRRAB,cio boivin,https://www.google.com/maps/contrib/116975101676745447605/reviews?hl=en-US,4 months ago,2021-06-20 19:48:58.018410,5.0,35,"(Translated by Google) Beautiful

(Original)
Lindo"
